PeakID (cmd=annotatePeaks.pl filtrd_peaks.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr19-9	chr19	37064090	37064306	+	1	NA	promoter-TSS (NM_001352272)	promoter-TSS (NM_001352272)	-1	NM_001352273	57711	Hs.654960	NM_020951	ENSG00000186020	ZNF529	-	zinc finger protein 529	protein-coding
chr2-458	chr2	232651090	232651153	+	1	NA	promoter-TSS (NM_001282952)	promoter-TSS (NM_001282952)	28	NM_001308381	64708	Hs.335061	NM_022730	ENSG00000144524	COPS7B	CSN7B|SGN7b	COP9 signalosome subunit 7B	protein-coding
chr14-194	chr14	104159895	104160082	+	1	NA	intron (NM_001130107, intron 14 of 15)	intron (NM_001130107, intron 14 of 15)	21835	NM_001100119	7517	Hs.592325	NM_005432	ENSG00000126215	XRCC3	CMM6	X-ray repair cross complementing 3	protein-coding
chr20-1795	chr20	43321768	43321987	+	1	NA	Intergenic	Intergenic	-21497	NR_034104	79015	Hs.671450	NM_024049	ENSG00000283440	LINC01260	-	long intergenic non-protein coding RNA 1260	ncRNA
chr7-376	chr7	157285734	157285945	+	1	NA	intron (NR_110157, intron 2 of 3)	intron (NR_110157, intron 2 of 3)	26914	NR_110157	101927914	Hs.623826	NR_110157	ENSG00000234210	LOC101927914	-	uncharacterized LOC101927914	ncRNA
chr9-48	chr9	34377031	34377087	+	1	NA	promoter-TSS (NM_020702)	promoter-TSS (NM_020702)	-165	NM_020702	57462	Hs.522083	NM_020702	ENSG00000164976	MYORG	KIAA1161|NET37	myogenesis regulating glycosidase (putative)	protein-coding
chr16-56	chr16	20817566	20817637	+	1	NA	promoter-TSS (NM_001199053)	promoter-TSS (NM_001199053)	-166	NM_001144924	81691	Hs.177926	NM_030941	ENSG00000005189	REXO5	NEF-sp	RNA exonuclease 5	protein-coding
chr1-626	chr1	235133013	235133161	+	1	NA	Intergenic	Intergenic	-33341	NR_125945	101927851	Hs.520684	NR_125945	ENSG00000238005	LOC101927851	-	uncharacterized LOC101927851	ncRNA
chr15-133	chr15	38544189	38544268	+	1	NA	promoter-TSS (NM_152594)	promoter-TSS (NM_152594)	-824	NM_152594	161742	Hs.525781	NM_152594	ENSG00000166068	SPRED1	NFLS|PPP1R147|hSpred1|spred-1	sprouty related EVH1 domain containing 1	protein-coding
chr7-13	chr7	99698199	99698409	+	1	NA	promoter-TSS (NM_004722)	promoter-TSS (NM_004722)	99	NM_182776	4176	Hs.438720	NM_005916	ENSG00000166508	MCM7	CDC47|MCM2|P1.1-MCM3|P1CDC47|P85MCM|PNAS146|PPP1R104	minichromosome maintenance complex component 7	protein-coding
chr21-15	chr21	36260455	36260661	+	1	NA	5' UTR (NM_001122607, exon 1 of 5)	5' UTR (NM_001122607, exon 1 of 5)	429	NM_001122607	861	Hs.149261	NM_001754	ENSG00000159216	RUNX1	AML1|AML1-EVI-1|AMLCR1|CBF2alpha|CBFA2|EVI-1|PEBP2aB|PEBP2alpha	runt related transcription factor 1	protein-coding
chr2-279	chr2	242833068	242833224	+	1	NA	intron (NR_110220, intron 2 of 3)	CpG	8145	NR_135768	285095	Hs.85890	NR_135766	ENSG00000216921	LOC285095	-	uncharacterized LOC285095	ncRNA
chr7-136	chr7	91142450	91142613	+	1	NA	Intergenic	MIR3|SINE|MIR	248748	NM_003505	8321	Hs.94234	NM_003505	ENSG00000157240	FZD1	-	frizzled class receptor 1	protein-coding
chr14-40	chr14	24836436	24836648	+	1	NA	promoter-TSS (NM_001198965)	promoter-TSS (NM_001198965)	425	NM_001136022	4776	Hs.77810	NM_004554	ENSG00000100968	NFATC4	NF-AT3|NF-ATC4|NFAT3	nuclear factor of activated T cells 4	protein-coding
chr1-129	chr1	151512626	151512766	+	1	NA	promoter-TSS (NM_001301317)	promoter-TSS (NM_001301317)	-85	NM_001126337	7286	Hs.489922	NM_020127	ENSG00000143367	TUFT1	-	tuftelin 1	protein-coding
JH636052.4-16	JH636052.4	3185455	3185631	+	1	NA	NA	NA	NA	NA								
chr13-57	chr13	41345253	41345453	+	1	NA	promoter-TSS (NM_005830)	promoter-TSS (NM_005830)	-6	NM_005830	10240	Hs.596607	NM_005830	ENSG00000102738	MRPS31	IMOGN38|MRP-S31|S31mt	mitochondrial ribosomal protein S31	protein-coding
chr16-509	chr16	845885	845893	+	1	NA	intron (NM_022092, intron 17 of 21)	intron (NM_022092, intron 17 of 21)	4844	NM_016541	51764	Hs.247888	NM_016541	ENSG00000127588	GNG13	G(gamma)13|h2-35	G protein subunit gamma 13	protein-coding
chr3-243	chr3	163416128	163416311	+	1	NA	Intergenic	HERV17-int|LTR|ERV1	-395130	NR_033945	647107	Hs.408584	NR_033945	ENSG00000241369	LINC01192	CT64	long intergenic non-protein coding RNA 1192	ncRNA
chr6-58	chr6	43060466	43060663	+	1	NA	intron (NM_001270398, intron 1 of 19)	intron (NM_001270398, intron 1 of 19)	16012	NM_001270398	5754	Hs.90572	NM_002821	ENSG00000112655	PTK7	CCK-4|CCK4	protein tyrosine kinase 7 (inactive)	protein-coding
chr3-50	chr3	142297629	142297837	+	1	NA	promoter-TSS (NM_001184)	promoter-TSS (NM_001184)	-65	NM_001354579	545	Hs.271791	NM_001184	ENSG00000175054	ATR	FCTCS|FRP1|MEC1|SCKL|SCKL1	ATR serine/threonine kinase	protein-coding
chr1-29	chr1	26947246	26947416	+	1	NA	Intergenic	CpG	66298	NR_031740	100302190		NR_031740	ENSG00000238705	MIR1976	hsa-mir-1976	microRNA 1976	ncRNA
chr14-89	chr14	21572081	21572203	+	1	NA	TTS (NM_001146683)	TTS (NM_001146683)	721	NM_001102454	51222	Hs.250493	NM_016423	ENSG00000165804	ZNF219	ZFP219	zinc finger protein 219	protein-coding
chr15-492	chr15	82044918	82045138	+	1	NA	Intergenic	Intergenic	293456	NM_032246	84206	Hs.104744	NM_032246	ENSG00000183496	MEX3B	MEX-3B|RKHD3|RNF195	mex-3 RNA binding family member B	protein-coding
chr16-138	chr16	67260933	67261078	+	1	NA	promoter-TSS (NR_134524)	promoter-TSS (NR_134524)	-11	NM_001318217	29100	Hs.433203	NM_014187	ENSG00000168701	TMEM208	HSPC171	transmembrane protein 208	protein-coding
chr1-744	chr1	45272887	45273095	+	1	NA	promoter-TSS (NM_001013632)	promoter-TSS (NM_001013632)	-34	NM_001013632	343521	Hs.585137	NM_001013632	ENSG00000188396	TCTEX1D4	-	Tctex1 domain containing 4	protein-coding
chr16-100	chr16	30968939	30969104	+	1	NA	5' UTR (NM_014712, exon 1 of 19)	5' UTR (NM_014712, exon 1 of 19)	406	NM_014712	9739	Hs.297483	NM_014712	ENSG00000099381	SETD1A	KMT2F|Set1|Set1A	SET domain containing 1A	protein-coding
chr15-5	chr15	72523583	72523788	+	1	NA	5' UTR (NM_001206798, exon 1 of 11)	5' UTR (NM_001206798, exon 1 of 11)	280	NM_001206796	5315	Hs.534770	NM_002654	ENSG00000067225	PKM	CTHBP|HEL-S-30|OIP3|PK3|PKM2|TCB|THBP1	pyruvate kinase M1/2	protein-coding
chr1-7	chr1	117811609	117811822	+	1	NA	Intergenic	Intergenic	-26373	NR_126408	104355292	Hs.576446	NR_126408	ENSG00000235202	LINC01525	lnc-MAN1A2-1	long intergenic non-protein coding RNA 1525	ncRNA
chr10-172	chr10	44349664	44349829	+	1	NA	Intergenic	Intergenic	-5113	NR_038268	100506835	Hs.462615	NR_038268	ENSG00000226808	LINC00840	-	long intergenic non-protein coding RNA 840	ncRNA
chr8-54	chr8	142051706	142051828	+	1	NA	Intergenic	Intergenic	-39589	NM_001352699	5747	Hs.395482	NM_005607	ENSG00000169398	PTK2	FADK|FAK|FAK1|FRNK|PPP1R71|p125FAK|pp125FAK	protein tyrosine kinase 2	protein-coding
chr2-80	chr2	66660641	66660788	+	1	NA	promoter-TSS (NR_046438)	promoter-TSS (NR_046438)	-112	NR_046438	730198	Hs.526753	NR_046438		MEIS1-AS3	-	MEIS1 antisense RNA 3	ncRNA
chr1-276	chr1	22739194	22739373	+	1	NA	Intergenic	Intergenic	-39061	NM_001330398	9923	Hs.418966	NM_014870	ENSG00000184677	ZBTB40	ZNF923	zinc finger and BTB domain containing 40	protein-coding
chr3-3	chr3	193590232	193590445	+	1	NA	Intergenic	Intergenic	-28540	NR_146718	105374285	Hs.552531	NR_146718		LINC02038	-	long intergenic non-protein coding RNA 2038	ncRNA
chr9-285	chr9	123883947	123884151	+	1	NA	promoter-TSS (NM_001330762)	promoter-TSS (NM_001330762)	1	NM_001330762	11064	Hs.653263	NM_007018	ENSG00000119397	CNTRL	CEP1|CEP110|FAN|bA165P4.1	centriolin	protein-coding
chr19-35	chr19	13056573	13056776	+	1	NA	promoter-TSS (NM_001270362)	promoter-TSS (NM_001270362)	46	NM_001270363	5886	Hs.643267	NM_005053	ENSG00000179262	RAD23A	HHR23A|HR23A	RAD23 homolog A, nucleotide excision repair protein	protein-coding
chr12-427	chr12	51785333	51785523	+	1	NA	promoter-TSS (NM_007210)	promoter-TSS (NM_007210)	-228	NM_007210	11226	Hs.505575	NM_007210	ENSG00000139629	GALNT6	GALNAC-T6|GalNAcT6	polypeptide N-acetylgalactosaminyltransferase 6	protein-coding
chr16-162	chr16	4743345	4743480	+	1	NA	promoter-TSS (NM_032349)	promoter-TSS (NM_032349)	-282	NM_032349	84309	Hs.513315	NM_032349	ENSG00000168101	NUDT16L1	SDOS	nudix hydrolase 16 like 1	protein-coding
chr14-168	chr14	74416837	74417039	+	1	NA	promoter-TSS (NM_182476)	promoter-TSS (NM_182476)	-17	NM_182476	51004	Hs.131555	NM_182476	ENSG00000119723	COQ6	CGI-10|CGI10|COQ10D6	coenzyme Q6, monooxygenase	protein-coding
chr12-135	chr12	54673311	54673417	+	1	NA	intron (NM_012117, intron 1 of 4)	CpG	551	NM_012117	23468	Hs.349283	NM_012117	ENSG00000094916	CBX5	HEL25|HP1|HP1A	chromobox 5	protein-coding
chr8-373	chr8	143820821	143821019	+	1	NA	Intergenic	CpG	2909	NM_020427	57152	Hs.103505	NM_020427	ENSG00000126233	SLURP1	ANUP|ARS|ArsB|LY6LS|MDM	secreted LY6/PLAUR domain containing 1	protein-coding
chr4-25	chr4	128983280	128983493	+	1	NA	intron (NM_178043, intron 1 of 10)	CpG	965	NM_001278604	55132	Hs.654971	NM_018078	ENSG00000138709	LARP1B	LARP2	La ribonucleoprotein domain family member 1B	protein-coding
chr5-452	chr5	148725014	148725032	+	1	NA	promoter-TSS (NM_152407)	promoter-TSS (NM_152407)	46	NM_152407	134266	Hs.511816	NM_152407	ENSG00000164284	GRPEL2	Mt-GrpE#2	GrpE like 2, mitochondrial	protein-coding
chr1-1031	chr1	204073488	204073648	+	1	NA	intron (NM_005686, intron 1 of 13)	intron (NM_005686, intron 1 of 13)	31322	NM_005686	9580	Hs.201671	NM_005686	ENSG00000143842	SOX13	ICA12|Sox-13	SRY-box 13	protein-coding
chr7-189	chr7	33762075	33762273	+	1	NA	Intergenic	Intergenic	-182349	NM_133468	168667	Hs.660998	NM_133468	ENSG00000164619	BMPER	CRIM3|CV-2|CV2	BMP binding endothelial regulator	protein-coding
chr9-60	chr9	123605338	123605525	+	1	NA	promoter-TSS (NM_005047)	promoter-TSS (NM_005047)	78	NR_024408	253039	Hs.594170	NR_024408	ENSG00000226752	CUTALP	PSMD5-AS1	cutA divalent cation tolerance homolog-like, pseudogene	pseudo
chr4-37	chr4	83934207	83934223	+	1	NA	promoter-TSS (NM_001115007)	promoter-TSS (NM_001115007)	-121	NM_001115007	132660	Hs.96952	NM_194282	ENSG00000189308	LIN54	CXCDC1|JC8.6|MIP120|TCX1	lin-54 DREAM MuvB core complex component	protein-coding
chr14-33	chr14	67946927	67947045	+	1	NA	intron (NM_001348542, intron 2 of 2)	intron (NM_001348542, intron 2 of 2)	8463	NM_001348543	161145	Hs.509707	NM_182526	ENSG00000198133	TMEM229B	C14orf83	transmembrane protein 229B	protein-coding
chr3-226	chr3	122661927	122662062	+	1	NA	intron (NM_001031702, intron 4 of 22)	intron (NM_001031702, intron 4 of 22)	32987	NM_001256347	54437	Hs.210870	NM_018987	ENSG00000082684	SEMA5B	SEMAG|SemG	semaphorin 5B	protein-coding
chr9-248	chr9	93833384	93833601	+	1	NA	intron (NR_033912, intron 1 of 3)	intron (NR_033912, intron 1 of 3)	3922	NR_033912	100129316	Hs.458154	NR_033912		LOC100129316	-	uncharacterized LOC100129316	ncRNA
chr3-61	chr3	183852000	183852157	+	1	NA	promoter-TSS (NM_003907)	promoter-TSS (NM_003907)	-732	NM_003907	8893	Hs.283551	NM_003907	ENSG00000145191	EIF2B5	CACH|CLE|EIF-2B|EIF2Bepsilon|LVWM	eukaryotic translation initiation factor 2B subunit epsilon	protein-coding
chr14-507	chr14	96670020	96670218	+	1	NA	Intergenic	Intergenic	-1016	NM_000623	624	Hs.654542	NM_000623	ENSG00000168398	BDKRB2	B2R|BK-2|BK2|BKR2|BRB2	bradykinin receptor B2	protein-coding
chr11-362	chr11	69064866	69065042	+	1	NA	TTS (NM_001293294)	TTS (NM_001293294)	3349	NM_001300924	26579	Hs.523848	NM_138768	ENSG00000172927	MYEOV	OCIM	myeloma overexpressed	protein-coding
chr13-172	chr13	44453117	44453289	+	1	NA	promoter-TSS (NM_001350640)	promoter-TSS (NM_001350640)	-111	NM_001350641	144811	Hs.210586	NM_153218	ENSG00000179630	LACC1	C13orf31|FAMIN	laccase domain containing 1	protein-coding
chr15-224	chr15	53364459	53364522	+	1	NA	Intergenic	Intergenic	-44072	NR_147181	105370822	Hs.527821	NR_147181	ENSG00000259237	LINC02490	-	long intergenic non-protein coding RNA 2490	ncRNA
chr3-372	chr3	147111441	147111470	+	1	NA	intron (NM_001243256, intron 2 of 3)	CpG-19033	-1238	NR_040762	84107	Hs.415766	NM_032153	ENSG00000174963	ZIC4	-	Zic family member 4	protein-coding
chr14-409	chr14	61115798	61115992	+	1	NA	exon (NM_005982, exon 1 of 2)	exon (NM_005982, exon 1 of 2)	260	NM_005982	6495	Hs.633506	NM_005982	ENSG00000126778	SIX1	BOS3|DFNA23|TIP39	SIX homeobox 1	protein-coding
chr6-231	chr6	109545454	109545668	+	1	NA	intron (NR_152435, intron 11 of 45)	intron (NR_152435, intron 11 of 45)	58527	NR_152435	221262	Hs.373914	NM_173671	ENSG00000203799	CCDC162P	C6orf183|C6orf184|C6orf185|CCDC162	coiled-coil domain containing 162, pseudogene	pseudo
chr17-214	chr17	80847439	80847652	+	1	NA	exon (NM_005993, exon 16 of 39)	exon (NM_005993, exon 16 of 39)	-49614	NM_024702	79755	Hs.464391	NM_024702	ENSG00000141579	ZNF750	ZFP750	zinc finger protein 750	protein-coding
chr14-430	chr14	67907458	67907605	+	1	NA	Intergenic	Intergenic	1116	NR_049879	100847064		NR_049879	ENSG00000265993	MIR5694	-	microRNA 5694	ncRNA
chr16-681	chr16	67880576	67880717	+	1	NA	promoter-TSS (NM_001322041)	promoter-TSS (NM_001322041)	11	NM_001322038	10204	Hs.356630	NM_005796	ENSG00000102898	NUTF2	NTF-2|NTF2|PP15	nuclear transport factor 2	protein-coding
chr16-355	chr16	4250274	4250467	+	1	NA	intron (NM_001323668, intron 4 of 6)	intron (NM_001323668, intron 4 of 6)	41711	NM_001098814	6345	Hs.10041	NM_001098814	ENSG00000185739	SRL	SAR	sarcalumenin	protein-coding
chr5-105	chr5	16734937	16735018	+	1	NA	intron (NM_012334, intron 19 of 40)	intron (NM_012334, intron 19 of 40)	-117810	NM_001034850	54463	Hs.481704	NM_019000	ENSG00000154153	RETREG1	FAM134B|JK-1|JK1	reticulophagy regulator 1	protein-coding
chr14-311	chr14	23057971	23058110	+	1	NA	exon (NM_001344, exon 1 of 3)	exon (NM_001344, exon 1 of 3)	103	NM_001344	1603	Hs.82890	NM_001344	ENSG00000129562	DAD1	OST2	defender against cell death 1	protein-coding
chr15-3	chr15	71184780	71184984	+	1	NA	promoter-TSS (NM_017691)	promoter-TSS (NM_017691)	100	NM_001199018	54839	Hs.12692	NM_017691	ENSG00000137821	LRRC49	PGs4	leucine rich repeat containing 49	protein-coding
chr15-91	chr15	38885830	38886045	+	1	NA	Intergenic	Intergenic	-28930	NM_001128602	10125	Hs.591127	NM_005739	ENSG00000172575	RASGRP1	CALDAG-GEFI|CALDAG-GEFII|RASGRP|V|hRasGRP1	RAS guanyl releasing protein 1	protein-coding
chr9-213	chr9	139377379	139377566	+	1	NA	promoter-TSS (NM_014866)	promoter-TSS (NM_014866)	35	NM_014866	9919	Hs.522500	NM_014866	ENSG00000148396	SEC16A	KIAA0310|SEC16L|p250	SEC16 homolog A, endoplasmic reticulum export factor	protein-coding
chr14-5	chr14	91593852	91594042	+	1	NA	intron (NM_001286471, intron 1 of 13)	intron (NM_001286471, intron 1 of 13)	1177	NR_003709	100124539	Hs.693444	NR_003709	ENSG00000221102	SNORA11B	-	small nucleolar RNA, H/ACA box 11B	snoRNA
chr8-64	chr8	110657117	110657279	+	1	NA	promoter-TSS (NM_001099753)	promoter-TSS (NM_001099753)	-147	NM_001099754	55638	Hs.390738	NM_017786	ENSG00000147642	SYBU	GOLSYN|OCSYN|SNPHL	syntabulin	protein-coding
chr6-81	chr6	39082533	39082698	+	1	NA	intron (NM_001304793, intron 1 of 2)	CpG	347	NM_018322	55776	Hs.58382	NM_018322	ENSG00000112167	SAYSD1	C6orf64	SAYSVFN motif domain containing 1	protein-coding
chr5-246	chr5	175145903	175146101	+	1	NA	Intergenic	Intergenic	60962	NM_001131055	3274	Hs.247885	NM_022304	ENSG00000113749	HRH2	H2R	histamine receptor H2	protein-coding
chr20-110	chr20	57226140	57226360	+	1	NA	promoter-TSS (NR_037942)	promoter-TSS (NR_037942)	-59	NR_037943	8675	Hs.307913	NM_003763	ENSG00000124222	STX16	SYN16	syntaxin 16	protein-coding
chr7-202	chr7	80193393	80193590	+	1	NA	Intergenic	L1PA13|LINE|L1	-38013	NM_001001547	948	Hs.120949	NM_000072	ENSG00000135218	CD36	BDPLT10|CHDS7|FAT|GP3B|GP4|GPIV|PASIV|SCARB3	CD36 molecule	protein-coding
chr19-234	chr19	44617323	44617492	+	1	NA	promoter-TSS (NR_033341)	promoter-TSS (NR_033341)	-71	NR_033341	100379224	Hs.585869	NR_033341	ENSG00000186019	LOC100379224	-	uncharacterized LOC100379224	ncRNA
chr22-82	chr22	47005203	47005395	+	1	NA	Intergenic	Intergenic	-11000	NM_015124	23151	Hs.475150	NM_015124	ENSG00000075240	GRAMD4	DIP|dA59H18.1|dJ439F8.1	GRAM domain containing 4	protein-coding
chr3-545	chr3	101395486	101395487	+	1	NA	non-coding (NR_024407, exon 1 of 1)	non-coding (NR_024407, exon 1 of 1)	212	NR_024407	100009676	Hs.743292	NR_024407	ENSG00000256628	ZBTB11-AS1	-	ZBTB11 antisense RNA 1	ncRNA
chr21-20	chr21	43476535	43476719	+	1	NA	Intergenic	Intergenic	-6441	NM_001199528	89766	Hs.242520	NM_173568	ENSG00000177398	UMODL1	-	uromodulin like 1	protein-coding
chr3-112	chr3	107515696	107515904	+	1	NA	intron (NM_020235, intron 14 of 16)	intron (NM_020235, intron 14 of 16)	81115	NR_024276	151658	Hs.159043	NR_015414	ENSG00000241469	LINC00635	-	long intergenic non-protein coding RNA 635	ncRNA
chr2-673	chr2	129049226	129049428	+	1	NA	intron (NM_004807, intron 1 of 1)	intron (NM_004807, intron 1 of 1)	26844	NM_004807	9394	Hs.512841	NM_004807	ENSG00000136720	HS6ST1	HH15|HS6ST	heparan sulfate 6-O-sulfotransferase 1	protein-coding
chr19-42	chr19	55770559	55770779	+	1	NA	promoter-TSS (NM_014931)	promoter-TSS (NM_014931)	-631	NM_014931	22870	Hs.515610	NM_014931	ENSG00000105063	PPP6R1	KIAA1115|PP6R1|SAP190|SAPS1	protein phosphatase 6 regulatory subunit 1	protein-coding
chr20-1740	chr20	24449633	24449818	+	1	NA	promoter-TSS (NM_001323606)	promoter-TSS (NM_001323606)	-110	NM_024893	79953	Hs.124638	NM_024893	ENSG00000101463	SYNDIG1	C20orf39|DSPC2|IFITMD5|TMEM90B	synapse differentiation inducing 1	protein-coding
chr15-45	chr15	41047368	41047558	+	1	NA	promoter-TSS (NM_001323894)	promoter-TSS (NM_001323894)	71	NM_001323894	55177	Hs.511067	NM_018145	ENSG00000137824	RMDN3	FAM82A2|FAM82C|RMD-3|RMD3|ptpip51	regulator of microtubule dynamics 3	protein-coding
chr5-359	chr5	57365900	57365931	+	1	NA	Intergenic	Intergenic	52253	NR_104669	101928569	Hs.319708	NR_104669		LINC02101	-	long intergenic non-protein coding RNA 2101	ncRNA
chr15-586	chr15	102098464	102098512	+	1	NA	Intergenic	Intergenic	56054	NR_147041	101927505	Hs.578394	NR_147041		LINC02348	-	long intergenic non-protein coding RNA 2348	ncRNA
chr15-528	chr15	90195946	90196129	+	1	NA	exon (NM_198525, exon 2 of 19)	exon (NM_198525, exon 2 of 19)	2645	NM_198525	374654	Hs.513134	NM_198525	ENSG00000166813	KIF7	ACLS|AGBK|HLS2|JBTS12|UNQ340	kinesin family member 7	protein-coding
chr7-560	chr7	107981547	107981743	+	1	NA	intron (NM_001193584, intron 2 of 28)	HERV17-int|LTR|ERV1	-101031	NM_001037132	4897	Hs.21422	NM_005010	ENSG00000091129	NRCAM	-	neuronal cell adhesion molecule	protein-coding
chr8-222	chr8	116346086	116346250	+	1	NA	Intergenic	LTR16E1|LTR|ERVL	334071	NM_001282902	7227	Hs.657018	NM_014112	ENSG00000104447	TRPS1	GC79|LGCR	transcriptional repressor GATA binding 1	protein-coding
chr8-180	chr8	57905740	57905936	+	1	NA	exon (NM_017813, exon 1 of 5)	exon (NM_017813, exon 1 of 5)	592	NM_017813	54928	Hs.438689	NM_017813	ENSG00000104331	IMPAD1	GPAPP|IMP 3|IMP-3|IMPA3	inositol monophosphatase domain containing 1	protein-coding
chr2-71	chr2	219866543	219866730	+	1	NA	promoter-TSS (NR_029867)	promoter-TSS (NR_029867)	-206	NR_029867	494324		NR_029867	ENSG00000198973	MIR375	MIRN375|hsa-mir-375|miRNA375|mir-375	microRNA 375	ncRNA
chr17-131	chr17	17349617	17349837	+	1	NA	Intergenic	Intergenic	-30573	NM_018019	55090	Hs.244595	NM_018019	ENSG00000141026	MED9	MED25	mediator complex subunit 9	protein-coding
chr17-1362	chr17	39692365	39692585	+	1	NA	Intergenic	Intergenic	-7834	NM_002276	3880	Hs.654568	NM_002276	ENSG00000171345	KRT19	CK19|K19|K1CS	keratin 19	protein-coding
chr17-13	chr17	61920018	61920214	+	1	NA	promoter-TSS (NM_001330439)	promoter-TSS (NM_001330439)	235	NM_001098426	6603	Hs.250581	NM_003077	ENSG00000108604	SMARCD2	BAF60B|CRACD2|PRO2451|Rsc6p|SGD2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2	protein-coding
chr9-129	chr9	112295138	112295291	+	1	NA	Intergenic	Intergenic	-21389	NR_037493	100500898		NR_037493	ENSG00000263861	MIR3927	-	microRNA 3927	ncRNA
chr18-4	chr18	267987	268201	+	1	NA	promoter-TSS (NM_005131)	promoter-TSS (NM_005131)	-35	NM_005131	9984	Hs.712543	NM_005131	ENSG00000079134	THOC1	HPR1|P84|P84N5	THO complex 1	protein-coding
chr8-135	chr8	96037312	96037497	+	1	NA	exon (NM_152416, exon 1 of 9)	exon (NM_152416, exon 1 of 9)	190	NM_152416	137682	Hs.435500	NM_152416	ENSG00000156170	NDUFAF6	C8orf38	NADH:ubiquinone oxidoreductase complex assembly factor 6	protein-coding
chr2-465	chr2	240189936	240190131	+	1	NA	intron (NM_006037, intron 2 of 26)	intron (NM_006037, intron 2 of 26)	-37124	NR_036229	100423043		NR_036229	ENSG00000265215	MIR4269	-	microRNA 4269	ncRNA
chr1-1016	chr1	201431154	201431223	+	1	NA	Intergenic	Intergenic	7111	NR_073080	23612	Hs.153944	NM_012396	ENSG00000174307	PHLDA3	TIH1	pleckstrin homology like domain family A member 3	protein-coding
chr17-485	chr17	66325048	66325152	+	1	NA	intron (NM_001267727, intron 2 of 11)	L2b|LINE|L2	36888	NM_001352902	22901	Hs.437249	NM_014960	ENSG00000141337	ARSG	-	arylsulfatase G	protein-coding
chr3-390	chr3	189662255	189662444	+	1	NA	Intergenic	Intergenic	114638	NR_030642	100126340		NR_030642	ENSG00000216058	MIR944	MIRN944|hsa-mir-944|mir-944	microRNA 944	ncRNA
chr21-2	chr21	43796526	43796700	+	1	NA	intron (NM_001256317, intron 11 of 12)	intron (NM_001256317, intron 11 of 12)	-9969	NM_003225	7031	Hs.162807	NM_003225	ENSG00000160182	TFF1	BCEI|D21S21|HP1.A|HPS2|pNR-2|pS2	trefoil factor 1	protein-coding
